alcohol_no,name,type,rep_ingredients,ingredients,alcohol,size,prize,etc,tags,desc,food,brewery,brewery_address,brewery_page,brewery_tel,sweet,sour,scent,body
1,1000억 유산균 막걸리,탁주,쌀,"쌀, 누룩",5,750,2021 대한민국 주류대상 우리술 탁주 생막걸리 부문 3년 연속 대상,,저도수,"1000억 유산균 막걸리는 국순당이 최초로 선보인 유산균 강화 막걸리다. 식물성 유산균이 막걸리 한 병(750mL)에 1000억 마리 이상이 들어 있다. 시중에 판매되는 일반 생막걸리 한 병(자사 생막걸리 750mL 기준)당 1억 마리 가량의 유산균이 들어 있는 것과 비교하면 약 1000배 많이 들어있고, 일반 유산균음료 보다 약 100배 많이 들어 있다.","전, 회무침",국순당,강원도 횡성군 둔내면 현천리 120,http://www.ksdb.co.kr,033-340-4300,3,5,1,3
2,1932 새싹땅콩 햅쌀/흑미,탁주,새싹땅콩,"새싹땅콩, 쌀, 흑미",6,"500, 900",,,,"당해연도 고시히카리쌀과 진도산 흑미를 주 원료로 사용하였다. 새싹땅콩의 항산화 물질인 ‘레즈베라트롤’이다량 함유 되었있고, 전통누룩에서 뽑아낸 우수한 균주를 사용하였다. 합성감미료는 사용하지 않았으며, 미생물 발효 조절방식으로 냉장보관 시 신선한 맛과 주질을 유지할 수 있다. 고급한정식당, 호텔, 백화점 위주로 납품되어지고 있다.",마늘새우,(주)1932 포천일동막걸리,경기도 포천시 일동면 운악청계로 1597,https://shopping.naver.com/fresh/traditionalalcohol/stores/100159599,315000000,4,2,2,1
3,2017년 햅쌀로 빚은 첫술,탁주,햅쌀,햅쌀,7,750,,,탄산,"2017년 햅쌀로 빚은 첫술은 매년 가을철, 그 해 수확한 햅쌀로 빚은 프리미엄 생 막걸리로 계절 한정 상품으로 선보인다. 올해 수확한 경북 안동 햅쌀을 원료로 빚어, 생 막걸리 특유의 탄산감이 살아있으면서도 부드럽고 신선한 쌀의 향과 맛을 느낄 수 있다.",,국순당,강원도 횡성군 둔내면 현천리 120,http://www.ksdb.co.kr,033-340-4300,4,2,1,4
4,52C,증류주,오이,"정제수, 주정, 증류원액, 오이",17.5,500,,,,"오이처럼 cool 하게 즐기는 싱싱한 오이 증류주. 예전에 유행했던 소주에 오이를 넣어 마시는 오이소주를 떠올리며 만든 술이다. 오이를 소주에 담그면 오이의 색과 향이 소주의 알코올 성분에 침출되어 소주 특유의 쓴 맛과 아로올 취를 부드럽게 하여 술 맛을 순하게 하고 이뇨작용을 활발하게 해주어 체내의 노폐물 배설을 도와주기도 한다고 한다. 오이는 차가운 성질이라 여름에 술 마실 때 나타나는 체온 상승을 어느 정도 억제해주고, 오이의 다양한 비타민은 숙취 해소에 효과가 있다고 한다. 이런 오이의 장점을 침출해 만든 세계 최초의 증류주가 52C이다. 52C를 마시면 입안 가득 오이와 멜론 향이 퍼진다.",곱창구이,청산녹수,전라남도 장성군 장섭읍 남양촌길 19,http://www.bluegreenkorea.co.kr,061-393-4141,3,2,5,3
5,DOK막걸리,탁주,쌀,"정제수, 멥쌀, 찹쌀, 누룩, 효소, 효모",6,1000,,,홈술|무감미료|혼술,DOK막걸리는 우리 누룩 특유의 발효 특성을 연구하여 출시한 막걸리로 막걸리 본연의 맛을 낼 수 있도록 노력한 결과입니다. 잘 익은 참외와 멜론의 달콤하고 상큼한 과육향을 싱그럽고 경쾌하게 즐길 수 있는 프리미엄 막걸리입니다.,,독브루어리,경기 김포시 하성면 누산봉성로237번길 163,https://www.instagram.com/dokbrewery/?hl=ko,0507-1385-4707,4,2,2,2
6,G12 골디락스,탁주,쌀,"정제수, 멥쌀, 찹쌀, 누룩, 종국, 효모, 밀",12,500,,,무감미료,"싱그러운 과일향과 부드러운 목 넘김으로 마시기 딱 좋은 막걸리. Ice 공법으로 차갑게 발효하고 더 차갑게 숙성했다. 담백한 맛의 멥쌀과 감칠맛 나는 찹쌀을 오랜 연구개발 끝에 최적의 비율로 사용하여 소박한 단맛을 구현하였고, 여기에 12℃ 저온에서 30일간의 발효와 12℃에서 30일간의 숙성 과정을 거친 깔끔한 막걸리이다. 제품명 G12에서 12는 알코올 도수 12도를 의미하고, G는 마시기 딱 좋은 조화로운 맛의 균형이라는 제품 특성을 담을 수 있도록 Goldilocks의 첫 글자를 따서 이름을 지었다. Goldilocks는 영국의 전래동화 '골디락스와 세 마리 곰' 주인공 소녀의 이름에서 유래한 용어로 뜨겁지도 차갑지도 않은 적당한 상태를 의미한다.","닭백숙, 오리백숙, 편육, 새우젓, 겉절이",청산녹수,전라남도 장성군 장섭읍 남양촌길 19,http://www.bluegreenkorea.co.kr,061-393-4141,5,1,1,4
7,SSOA-포도,리큐르/기타주류,포도,포도,5,355,2014 대한민국우리술품평회 대상 (기타주류 부문),,탄산|저도수|혼술,포도주를 이용한 특유한 스파클링와인으로서 우수한 포천포도를 와인으로 제조하여 뛰어난 맛과 향을 느낄 수 있으며 탄산의 시원함을 동시에 느낄 수 있고 목넘김이 아주 좋은 것이 특징이다.,"피자, 치킨",㈜포천조술당,경기 포천시 화현면 화동로 432번길 12,,문의,2,2,4,3
8,The 찾을수록,증류주,사과와인,"사과와인, 정제수, 주정, 농축액 (복숭아, 포도, 사과, 감귤, 생강, 커피 향 등)",15,360,,2016 찾아가는 양조장,,"더찾을수록 시리즈는 한국애플리즈는 7년의 부단한 연구개발 끝에 2013년 사과와인을 베이스로한 사과소주 6종을 출시하였다. 복숭아, 청포도, 사과, 감귤, 생강, 아메리카노를 가미하여 탄생한 6종의 사과소주다. 패키지 디자인은 녹색 희석식 소주와 흡사하지만 제품은 증류주가 아닌 과실주로 분류된다. 미국 마켓의 경우 맥주와 와인 판매허가만 있는 경우 소주를 판매할 수 없는 점에 착안하여 디자인은 소주이나 제품은 사과와인으로 미국 내 많은 마켓에 입점하기 위한 전략에서 디자인된 제품이다.",스낵,㈜한국애플리즈,경북 의성군 단촌면 일직점곡로 755,http://www.applewine.co.kr/,054-834-7800,1,1,1,5
9,가야 프리미엄 막걸리,탁주,쌀,쌀,6,750,,,,풍부한 일조량은 받고 자란 김해 쌀로 만든 가야는 감미료를 전혀 넣지 않았음에도 꽃 향기 등이 나고 새콤달콤한 맛을 느낄 수 있습니다.,,가야양조장,경남 김해시 한림면 한림로 46번길 79-1,https://www.instagram.com/gaya_brewery/?hl=ko,055-342-9003,3,2,2,4
10,가야곡왕주,"약주, 청주",국화,"쌀, 국화, 구기자, 오미자, 솔잎, 매실",13,750,,전통식품명인 제13호 남상란,명절,"조선의 마지막국모 명성황후 민씨의 친정에서 빚던 가양주로 종묘대제의 제주(祭酒)로 사용되고 있다. 제철에 채취한 초, 근, 목, 피를 이용해야 약재의 효능을 최고로 끌어올릴 수 있는데, 가야곡왕주는 가야곡의 맑은 물과 제철솔잎, 구절초, 홍삼, 매실 등을 이용해 술에 다양한 맛과 향을 불어 넣은 좋은 약주라 할 수 있다.",소고기나 돼지고기를 양념한 갈비,민속주왕주,충남 논산시 원댕이길 2-65,,041-741-8353,2,2,3,2
11,가평 잣 생막걸리,탁주,잣,"쌀, 정제수, 쌀입국, 잣, 효모, 정제효소",6,750,,2015 찾아가는 양조장,,"가평의 잣을 막걸리에 그대로 담아 특유의 고소한 맛으로 목 넘김이 부드럽고, 은은한 향까지 느낄 수 있어 누구나 부담 없이 마시고 느낄 수 있는 막걸리다. 일반 막걸리는 완전 발효가 되지 않는 미숙주가 많아 상품 상태에서도 발효가 활발하기 때문에 병을 흔들면 가스로 병이 터지거나, 넘치는 현상이 일어난다. 하지만 가평 생 막걸리는 저온 장기숙성방식으로 완전 발효를 실현하여 완숙주로 출시되어 흔들어도 터지거나 넘치지 않는다. 단맛, 신맛, 바디감, 목넘김 등 맛이 튀지 않고 적당하다. 쌀 막걸리의 가벼운 바디감과 부드러운 목넘김이 좋은 막걸리다.",,우리술,"경기 가평군 하면 대보간선로 26, 29",http://www.woorisool.kr,031-585-8525,4,3,4,3
12,각시탈,증류주,쌀,"쌀 증류원액, 정제수, 발효주정",45,200,,,이색전통주|선물,국내산 쌀 100%로 만든 700년 전통의 증류식 안동소주로 부드럽고 깔끔하여 숙취가 적다. 화학첨가물이 전혀 들어가지 않아 안심하고 먹을 수 있으며 증류식 소주로 은은한 향과 감칠맛이 개운하며 목넘김이 순하고 담백하다. 국내 유일하게 3회 여과한 증류원액을 사용하여 화근 냄새를 줄였으며 전통의 맛과 향을 개선하여 누구나 즐길 수 있게 대중화했다. 마신 후 입안 가득 향이 퍼지며 뒤끝이 깨끗하여 다음날 숙취가 적은 전통주이다. 각시탈 모양으로 선물하기 좋다.,,명품안동소주,경상북도 안동시 풍산읍 유통단지길 124-34,https://andongsojump.com/,549000000,1,1,4,3
13,감그린 레귤러,과실주,감,감,12,750,,,이색전통주,"""감그린 레귤러""는 경북 청도의 특산물인 씨 없는 감으로 만든 한국와인이다. 감 특유의 떫은 맛, 달콤한 맛, 신맛이 조화를 이루어 포도와인과는 다른 색다른 향과 풍미를 자아낸다. 감이 발효되었을 때 생기는 아로마향과 부케향이 특징이며 식전주로도 손색이 없어 동서양의 요리와도 잘 어울리는 감와인이다. 청도감와인은 2005년 부산APEC정상회의 만찬주, 특히 제17~18대 대통령 취임 건배주로 선정 되는 등 수 차례 정부 공식 행사주로 선정되었다.","기름진 음식, 소고기",청도감와인,경북 청도군 풍각면 봉길1길27,http://www.gamwine.com/company/main.php,054-371-1100,2,1,4,2
14,감그린 스페셜,과실주,감,감,12,750,,,이색전통주,"""감그린 스페셜""은 경북 청도의 특산물인 씨 없는 감으로 만든 한국와인이다. 감 특유의 떫은 맛, 달콤한 맛, 신맛이 조화를 이루어 포도와인과는 다른 색다른 향과 풍미를 자아낸다. 감이 발효되었을 때 생기는 아로마향과 부케향이 특징이며 식전주로도 손색이 없어 동서양의 요리와도 잘 어울리는 감와인이다. 청도감와인은 2005년 부산APEC정상회의 만찬주, 특히 제17~18대 대통령 취임 건배주로 선정 되는 등 수 차례 정부 공식 행사주로 선정되었다.","기름진 음식, 소고기",청도감와인,경북 청도군 풍각면 봉길1길27,http://www.gamwine.com/company/main.php,054-371-1100,4,2,4,3
15,감그린 아이스와인,과실주,감,감,10,375,,,이색전통주|저도수,"""감그린 아이스와인""는 경북 청도의 특산물인 씨 없는 감으로 만든 한국와인이다. 감 특유의 떫은 맛, 달콤한 맛, 신맛이 조화를 이루어 포도와인과는 다른 색다른 향과 풍미를 자아낸다. 감이 발효되었을 때 생기는 아로마향과 부케향이 특징이며 식전주로도 손색이 없어 동서양의 요리와도 잘 어울리는 감와인이다. 청도감와인은 2005년 부산APEC정상회의 만찬주, 특히 제17~18대 대통령 취임 건배주로 선정 되는 등 수 차례 정부 공식 행사주로 선정되었다.","모짜렐라 치즈, 까망베르 치즈, 스모키 치즈",청도감와인,경북 청도군 풍각면 봉길1길27,http://www.gamwine.com/company/main.php,054-371-1100,3,1,5,4
16,감사,"약주, 청주",쌀,"쌀, 누룩, 정제수",14,375,2017 대한민국 우리술품평회 약청주 우수상,2017 찾아가는 양조장,선물,값진 인연에 감사와 사랑을 전한다는 뜻을 담아 만든 전통 청주입니다. 주정과 조미료를 쓰지 않고 오로지 멥쌀로만 빚어 깔끔하고 드라이합니다. 부드러운 단맛과 은은한 과실향의 산미가 여운을 남깁니다. 한결 더 정돈된 맛의 살균약주 ‘감사 블루’도 인기입니다.,"불고기,잡채",술샘,경기도 용인시 처인구 양지면 죽양대로 2298-1,http://www.sulseam.com,070-4218-5225,3,0,2,1
17,감사블루,"약주, 청주",쌀,"쌀, 누룩, 효모, 정제수",14,375,,2017 찾아가는 양조장,선물|무감미료,"감사블루는 값진 인연에 감사와 사랑을 전한다는 뜻을 담아 만든 술샘의 ""감사""를 살균한 약주입니다. 주정과 조미료를 쓰지 않고 오로지 멥쌀로만 빚어 깔끔하고 드라이합니다. 은은하게 올라오는 과실향과 익은 곡물 맛이 특징이며, 전체적으로 단맛과 신맛 등 오미의 균형이 잘 갖춰져 있고, 부드러운 목넘김을 가지고 있습니다.",,술샘,경기도 용인시 처인구 양지면 죽양대로 2298-1,http://www.sulseam.com,070-4218-5225,3,2,3,1
